chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	1500155	SSU72	ENST00000359060.4	1.480519	248	222	221	-240	-241	-2430	26	461	2189
chr1	1500183	SSU72	ENST00000359060.4	1.419913	220	194	193	-268	-269	-2458	26	461	2189
chr1	1533633	C1orf233	ENST00000422725.1	2.817838	1843	1763	1762	1082	1081	-241	80	680	1322
chr1	1596652	SLC35E2B	ENST00000378662.1	2.132882	2547	1787	1786	569	568	-3713	760	1217	4281
chr1	1684164	NADK	ENST00000344463.4	2.107508	2176	1955	1954	179	178	-1486	221	1775	1664
chr1	1687726	NADK	ENST00000344463.4	1.557995	1212	991	990	-785	-786	-2450	221	1775	1664
chr1	1718296	GNB1	ENST00000378609.4	2.116187	1560	1229	1228	206	205	-1567	331	1022	1772
chr1	1718384	GNB1	ENST00000378609.4	2.066554	1472	1141	1140	118	117	-1655	331	1022	1772
chr1	1718406	GNB1	ENST00000378609.4	2.054146	1450	1119	1118	96	95	-1677	331	1022	1772
chr1	1718421	GNB1	ENST00000378609.4	2.045685	1435	1104	1103	81	80	-1692	331	1022	1772
chr1	2238558	SKI	ENST00000378536.4	2.105546	2612	2541	2540	354	353	-3000	71	2186	3353
chr1	2239337	SKI	ENST00000378536.4	2.337806	3391	3320	3319	1133	1132	-2221	71	2186	3353
chr1	2239386	SKI	ENST00000378536.4	2.352415	3440	3369	3368	1182	1181	-2172	71	2186	3353
chr1	2338180	PEX10	ENST00000288774.3	1.782901	842	815	814	-226	-227	-1195	27	1040	968
chr1	2440075	PANK4	ENST00000378466.3	2.671975	2545	2533	2532	211	210	-103	12	2321	313
chr1	3546602	TPRG1L	ENST00000378344.2	2.941601	2324	2254	2253	1435	1434	-89	70	818	1523
chr1	3548005	WRAP73	ENST00000378322.3	1.967125	1323	1265	1264	-43	-44	-674	58	1307	630
chr1	3703822	LRRC47	ENST00000378251.1	1.381279	695	668	667	-1084	-1085	-1952	27	1751	867
chr1	6283019	ICMT	ENST00000343813.5	2.545665	3004	2976	2975	2121	2120	-1766	28	854	3886
chr1	6283946	ICMT	ENST00000343813.5	2.307178	2077	2049	2048	1194	1193	-2693	28	854	3886
chr1	6284065	ICMT	ENST00000343813.5	2.276563	1958	1930	1929	1075	1074	-2812	28	854	3886
chr1	6284768	ICMT	ENST00000343813.5	2.095704	1255	1227	1226	372	371	-3515	28	854	3886
chr1	6284801	ICMT	ENST00000343813.5	2.087214	1222	1194	1193	339	338	-3548	28	854	3886
chr1	6285026	ICMT	ENST00000343813.5	2.029329	997	969	968	114	113	-3773	28	854	3886
chr1	6285084	ICMT	ENST00000343813.5	2.014407	939	911	910	56	55	-3831	28	854	3886
chr1	6584747	NOL9	ENST00000377705.5	2.258931	3308	3276	3275	1167	1166	-3340	32	2108	4506
chr1	6585887	NOL9	ENST00000377705.5	2.005991	2168	2136	2135	27	26	-4480	32	2108	4506
chr1	6589201	NOL9	ENST00000377705.5	1.795638	1710	1678	1677	-431	-432	-4938	32	2108	4506
chr1	6651014	KLHL21	ENST00000377663.3	2.950442	6214	6031	6030	4411	4410	-230	183	1619	4640
chr1	6653636	KLHL21	ENST00000377663.3	2.385477	3592	3409	3408	1789	1788	-2852	183	1619	4640
chr1	6681697	PHF13	ENST00000377648.4	2.000000	1284	903	902	0	-1	-2396	381	902	2395
chr1	6681833	PHF13	ENST00000377648.4	2.056761	1420	1039	1038	136	135	-2260	381	902	2395
chr1	6681933	PHF13	ENST00000377648.4	2.098497	1520	1139	1138	236	235	-2160	381	902	2395
chr1	6681938	PHF13	ENST00000377648.4	2.100584	1525	1144	1143	241	240	-2155	381	902	2395
chr1	7840457	VAMP3	ENST00000054666.6	2.420817	1169	1055	1054	752	751	-1035	114	302	1786
chr1	8045110	PARK7	ENST00000493678.1	1.992982	632	566	565	-4	-5	-455	66	569	450
chr1	8045260	PARK7	ENST00000493678.1	2.323725	782	716	715	146	145	-305	66	569	450
chr1	8073556	ERRFI1	ENST00000377482.5	1.794096	1326	1103	1102	-286	-287	-1777	223	1388	1490
chr1	8073835	ERRFI1	ENST00000377482.5	1.593233	1047	824	823	-565	-566	-2056	223	1388	1490
chr1	8074308	ERRFI1	ENST00000377482.5	1.252700	574	351	350	-1038	-1039	-2529	223	1388	1490
chr1	8921120	ENO1	ENST00000234590.4	2.835196	1723	1604	1603	299	298	-59	119	1304	357
chr1	8921280	ENO1	ENST00000234590.4	2.388268	1563	1444	1443	139	138	-219	119	1304	357
chr1	8921328	ENO1	ENST00000234590.4	2.254190	1515	1396	1395	91	90	-267	119	1304	357
chr1	8921330	ENO1	ENST00000234590.4	2.248603	1513	1394	1393	89	88	-269	119	1304	357
chr1	8921375	ENO1	ENST00000234590.4	2.122905	1468	1349	1348	44	43	-314	119	1304	357
chr1	8921435	ENO1	ENST00000234590.4	1.987739	1408	1289	1288	-16	-17	-374	119	1304	357
chr1	8922998	ENO1	ENST00000234590.4	1.906513	1302	1183	1182	-122	-123	-480	119	1304	357
chr1	8923344	ENO1	ENST00000234590.4	1.862835	1245	1126	1125	-179	-180	-537	119	1304	357
chr1	8925475	ENO1	ENST00000234590.4	1.562452	853	734	733	-571	-572	-929	119	1304	357
chr1	8925500	ENO1	ENST00000234590.4	1.543295	828	709	708	-596	-597	-954	119	1304	357
chr1	8930537	ENO1	ENST00000234590.4	1.163985	333	214	213	-1091	-1092	-1449	119	1304	357
chr1	8934930	ENO1	ENST00000234590.4	1.029119	157	38	37	-1267	-1268	-1625	119	1304	357
chr1	9305128	H6PD	ENST00000377403.2	1.056818	436	135	134	-2241	-2242	-8709	301	2375	6467
chr1	9789843	CLSTN1	ENST00000377298.4	2.487854	4461	3669	3668	723	722	-759	792	2945	1481
chr1	9790484	CLSTN1	ENST00000377298.4	2.055331	3820	3028	3027	82	81	-1400	792	2945	1481
chr1	10479762	PGD	ENST00000538557.1	1.968861	1612	1369	1368	-44	-45	-346	243	1412	301
chr1	10479848	PGD	ENST00000538557.1	2.139073	1698	1455	1454	42	41	-260	243	1412	301
chr1	10480005	PGD	ENST00000538557.1	2.658940	1855	1612	1611	199	198	-103	243	1412	301
chr1	10516852	DFFA	ENST00000377038.3	2.945048	5758	5691	5690	4695	4694	-273	67	995	4967
chr1	10521361	DFFA	ENST00000377038.3	2.037440	1249	1182	1181	186	185	-4782	67	995	4967
chr1	10521408	DFFA	ENST00000377038.3	2.027979	1202	1135	1134	139	138	-4829	67	995	4967
chr1	10521459	DFFA	ENST00000377038.3	2.017713	1151	1084	1083	88	87	-4880	67	995	4967
chr1	10521473	DFFA	ENST00000377038.3	2.014895	1137	1070	1069	74	73	-4894	67	995	4967
chr1	11083331	TARDBP	ENST00000240185.3	2.446364	1978	1865	1864	620	619	-769	113	1244	1388
chr1	11083483	TARDBP	ENST00000240185.3	2.555796	2130	2017	2016	772	771	-617	113	1244	1388
chr1	11083492	TARDBP	ENST00000240185.3	2.562275	2139	2026	2025	781	780	-608	113	1244	1388
chr1	11115074	SRM	ENST00000376957.2	1.916392	913	833	832	-76	-77	-352	80	908	275
chr1	11116765	SRM	ENST00000376957.2	1.474147	511	431	430	-478	-479	-754	80	908	275
chr1	11126765	EXOSC10	ENST00000544779.1	2.932453	3246	3241	3240	1201	1200	-87	5	2039	1287
chr1	11142784	EXOSC10	ENST00000544779.1	1.608333	1246	1241	1240	-799	-800	-2087	5	2039	1287
chr1	11167236	MTOR	ENST00000361445.4	2.322105	8032	7956	7955	306	305	-644	76	7649	949
chr1	11983348	KIAA2013	ENST00000376572.3	1.646719	1417	1232	1231	-673	-674	-1397	185	1904	723
chr1	12035204	PLOD1	ENST00000196061.4	2.465021	2549	2523	2522	339	338	-390	26	2183	728
chr1	12035292	PLOD1	ENST00000196061.4	2.585734	2637	2611	2610	427	426	-302	26	2183	728
chr1	12035319	PLOD1	ENST00000196061.4	2.622771	2664	2638	2637	454	453	-275	26	2183	728
chr1	12071860	MFN2	ENST00000235329.5	2.122491	2833	2512	2511	238	237	-1705	321	2273	1942
chr1	12072681	MFN2	ENST00000235329.5	2.545033	3654	3333	3332	1059	1058	-884	321	2273	1942
chr1	12072702	MFN2	ENST00000235329.5	2.555841	3675	3354	3353	1080	1079	-863	321	2273	1942
chr1	13942599	PDPN	ENST00000294489.6	2.094330	1250	910	909	193	192	-1853	340	716	2045
chr1	14105984	PRDM2	ENST00000235372.7	1.328486	2549	1694	1693	-3463	-3464	-5407	855	5156	1943
chr1	14106254	PRDM2	ENST00000235372.7	1.380842	2819	1964	1963	-3193	-3194	-5137	855	5156	1943
chr1	14107817	PRDM2	ENST00000235372.7	1.683925	4382	3527	3526	-1630	-1631	-3574	855	5156	1943
chr1	14109043	PRDM2	ENST00000235372.7	1.921660	5608	4753	4752	-404	-405	-2348	855	5156	1943
chr1	15895463	DNAJC16	ENST00000375847.3	2.222441	3303	3140	3139	791	790	-2765	163	2348	3555
chr1	15986573	DDI2	ENST00000480945.1	2.031122	1658	1488	1487	288	287	-8966	170	1199	9253
chr1	15987590	DDI2	ENST00000480945.1	2.141020	2675	2505	2504	1305	1304	-7949	170	1199	9253
chr1	16053664	PLEKHM2	ENST00000375799.3	1.358497	1323	1097	1096	-1963	-1964	-2798	226	3059	834
chr1	16060755	PLEKHM2	ENST00000375799.3	2.390419	3612	3386	3385	326	325	-509	226	3059	834
chr1	16202781	SPEN	ENST00000375759.3	1.044475	692	489	488	-10506	-10507	-11539	203	10994	1032
chr1	16255121	SPEN	ENST00000375759.3	1.217008	2589	2386	2385	-8609	-8610	-9642	203	10994	1032
chr1	16257186	SPEN	ENST00000375759.3	1.404820	4654	4451	4450	-6544	-6545	-7577	203	10994	1032
chr1	16259409	SPEN	ENST00000375759.3	1.607003	6877	6674	6673	-4321	-4322	-5354	203	10994	1032
chr1	16261769	SPEN	ENST00000375759.3	1.821646	9237	9034	9033	-1961	-1962	-2994	203	10994	1032
chr1	16265982	SPEN	ENST00000375759.3	2.058083	11258	11055	11054	60	59	-973	203	10994	1032
chr1	16266139	SPEN	ENST00000375759.3	2.210068	11415	11212	11211	217	216	-816	203	10994	1032
chr1	16266158	SPEN	ENST00000375759.3	2.228461	11434	11231	11230	236	235	-797	203	10994	1032
chr1	16266166	SPEN	ENST00000375759.3	2.236205	11442	11239	11238	244	243	-789	203	10994	1032
chr1	16266381	SPEN	ENST00000375759.3	2.444337	11657	11454	11453	459	458	-574	203	10994	1032
chr1	16451278	EPHA2	ENST00000358432.5	2.492027	3517	3363	3362	432	431	-446	154	2930	877
chr1	16577361	FBXO42	ENST00000375592.3	1.909006	2174	1958	1957	-196	-197	-4027	216	2153	3830
chr1	16721757	SZRD1	ENST00000401088.4	2.040640	755	581	580	122	121	-2880	174	458	3001
chr1	16721845	SZRD1	ENST00000401088.4	2.069953	843	669	668	210	209	-2792	174	458	3001
chr1	16786504	NECAP2	ENST00000337132.5	2.941919	2000	1911	1910	1119	1118	-69	89	791	1187
chr1	17733884	RCC2	ENST00000375436.4	2.730472	3458	3271	3270	1702	1701	-628	187	1568	2329
chr1	17735459	RCC2	ENST00000375436.4	2.054506	1883	1696	1695	127	126	-2203	187	1568	2329
chr1	19420584	UBR4	ENST00000375267.2	1.883509	13799	13796	13795	-1819	-1820	-2145	3	15614	325
chr1	19465658	UBR4	ENST00000375267.2	1.553955	8653	8650	8649	-6965	-6966	-7291	3	15614	325
chr1	19585330	MRTO4	ENST00000330263.4	2.004622	1022	726	725	6	5	-1292	296	719	1297
chr1	19585382	MRTO4	ENST00000330263.4	2.044684	1074	778	777	58	57	-1240	296	719	1297
chr1	19586362	MRTO4	ENST00000330263.4	2.799692	2054	1758	1757	1038	1037	-260	296	719	1297
chr1	19655428	PQLC2	ENST00000375153.3	2.456829	1806	1167	1166	291	290	-346	639	875	636
chr1	19665788	CAPZB	ENST00000264203.3	2.345133	1549	1056	1055	273	272	-518	493	782	790
chr1	19665990	CAPZB	ENST00000264203.3	2.089760	1347	854	853	71	70	-720	493	782	790
chr1	19671711	CAPZB	ENST00000264203.3	1.896552	1195	702	701	-81	-82	-872	493	782	790
chr1	20827625	MUL1	ENST00000264198.3	1.582625	753	617	616	-442	-443	-1682	136	1058	1239
chr1	20980809	DDOST	ENST00000375048.3	1.548505	857	752	751	-619	-620	-1221	105	1370	601
chr1	21046991	SH2D5	ENST00000375031.1	2.628155	2938	2314	2313	1294	1293	-766	624	1019	2059
chr1	21133534	EIF4G3	ENST00000602326.1	2.332536	5637	5054	5053	278	277	-558	583	4775	835
chr1	21268573	EIF4G3	ENST00000602326.1	1.193467	1507	924	923	-3852	-3853	-4688	583	4775	835
chr1	21544594	ECE1	ENST00000415912.2	2.684638	4244	4119	4118	1854	1853	-854	125	2264	2707
chr1	22853291	ZBTB40	ENST00000404138.1	2.084436	4632	4122	4121	402	401	-4359	510	3719	4760
chr1	22853492	ZBTB40	ENST00000404138.1	2.126654	4833	4323	4322	603	602	-4158	510	3719	4760
chr1	23637071	HNRNPR	ENST00000478691.1	1.922886	1755	1484	1483	-124	-125	-5890	271	1607	5765
chr1	23637238	HNRNPR	ENST00000478691.1	1.819030	1588	1317	1316	-291	-292	-6057	271	1607	5765
chr1	23637259	HNRNPR	ENST00000478691.1	1.805970	1567	1296	1295	-312	-313	-6078	271	1607	5765
chr1	23884749	ID3	ENST00000374561.5	2.349904	910	543	542	183	182	-340	367	359	522
chr1	23884756	ID3	ENST00000374561.5	2.336520	903	536	535	176	175	-347	367	359	522
chr1	23885927	ID3	ENST00000374561.5	0.975543	358	-9	-10	-369	-370	-892	367	359	522
chr1	24019134	RPL11	ENST00000374550.3	1.078212	86	42	41	-495	-496	-547	44	536	51
chr1	24021218	RPL11	ENST00000374550.3	1.620112	377	333	332	-204	-205	-256	44	536	51
chr1	24021220	RPL11	ENST00000374550.3	1.623836	379	335	334	-202	-203	-254	44	536	51
chr1	24078435	TCEB3	ENST00000418390.2	1.591573	1688	1418	1417	-979	-980	-3465	270	2396	2485
chr1	24086113	TCEB3	ENST00000418390.2	2.020113	2717	2447	2446	50	49	-2436	270	2396	2485
chr1	24172059	FUCA1	ENST00000374479.3	2.228840	1554	1547	1546	146	145	-492	7	1400	637
chr1	24172118	FUCA1	ENST00000374479.3	2.136364	1495	1488	1487	87	86	-551	7	1400	637
chr1	24483568	IFNLR1	ENST00000327535.1	2.017491	1627	1615	1614	52	51	-2921	12	1562	2972
chr1	25170400	CLIC4	ENST00000374379.4	2.877473	3930	3734	3733	2972	2971	-415	196	761	3386
chr1	25569098	C1orf63	ENST00000243189.7	1.979381	1131	855	854	-18	-19	-370	276	872	351
chr1	25688041	TMEM50A	ENST00000374358.4	2.510266	1871	1319	1318	845	844	-811	552	473	1655
chr1	25785326	TMEM57	ENST00000374343.4	1.549875	1275	1097	1096	-898	-899	-2641	178	1994	1742
chr1	25894078	LDLRAP1	ENST00000374338.4	2.314150	1640	1522	1521	595	594	-1299	118	926	1893
chr1	26142428	SEPN1	ENST00000361547.2	2.087460	2046	1992	1991	219	218	-2285	54	1772	2503
chr1	26142500	SEPN1	ENST00000361547.2	2.116214	2118	2064	2063	291	290	-2213	54	1772	2503
chr1	26158854	MTFR1L	ENST00000466284.1	2.460452	2688	1107	1106	489	488	-573	1581	617	1061
chr1	26227392	STMN1	ENST00000399728.1	2.128062	928	565	564	115	114	-783	363	449	897
chr1	26227456	STMN1	ENST00000399728.1	2.056793	864	501	500	51	50	-847	363	449	897
chr1	26227490	STMN1	ENST00000399728.1	2.018931	830	467	466	17	16	-881	363	449	897
chr1	26231197	STMN1	ENST00000399728.1	0.920330	334	-29	-30	-479	-480	-1377	363	449	897
chr1	26448738	PDIK1L	ENST00000374271.4	1.678363	982	696	695	-330	-331	-3296	286	1025	2965
chr1	26449161	PDIK1L	ENST00000374271.4	2.031355	1405	1119	1118	93	92	-2873	286	1025	2965
chr1	26497246	ZNF593	ENST00000270812.5	2.048834	579	538	537	67	66	-1305	41	470	1371
chr1	26497260	ZNF593	ENST00000270812.5	2.059038	593	552	551	81	80	-1291	41	470	1371
chr1	27106127	ARID1A	ENST00000324856.7	1.836687	6108	5738	5737	-1120	-1121	-2468	370	6857	1347
chr1	27106304	ARID1A	ENST00000324856.7	1.862496	6285	5915	5914	-943	-944	-2291	370	6857	1347
chr1	27106576	ARID1A	ENST00000324856.7	1.902158	6557	6187	6186	-671	-672	-2019	370	6857	1347
chr1	27107308	ARID1A	ENST00000324856.7	2.045252	7289	6919	6918	61	60	-1287	370	6857	1347
chr1	27180434	ZDHHC18	ENST00000374142.4	2.026610	1361	1267	1266	100	99	-3658	94	1166	3757
chr1	27662183	TMEM222	ENST00000374076.4	2.241970	890	853	852	226	225	-708	37	626	933
chr1	27662618	TMEM222	ENST00000374076.4	2.707709	1325	1288	1287	661	660	-273	37	626	933
chr1	27720880	GPR3	ENST00000374024.3	1.582075	676	578	577	-415	-416	-1438	98	992	1022
chr1	27873993	AHDC1	ENST00000374011.2	1.963009	5602	4634	4633	-178	-179	-835	968	4811	656
chr1	28176687	PPP1R8	ENST00000373931.4	1.571429	1154	360	359	-270	-271	-1496	794	629	1225
chr1	28176735	PPP1R8	ENST00000373931.4	1.647619	1202	408	407	-222	-223	-1448	794	629	1225
chr1	28177039	PPP1R8	ENST00000373931.4	2.066884	1506	712	711	82	81	-1144	794	629	1225
chr1	28296953	EYA3	ENST00000373871.3	2.976225	5986	5746	5745	4024	4023	-98	240	1721	4121
chr1	28564542	ATPIF1	ENST00000465645.1	2.959196	1787	1758	1757	1575	1574	-67	29	182	1641
chr1	28586339	SESN2	ENST00000253063.3	0.940810	301	-19	-20	-1462	-1463	-3151	320	1442	1688
chr1	28607355	SESN2	ENST00000253063.3	2.024867	1805	1485	1484	42	41	-1647	320	1442	1688
chr1	28607381	SESN2	ENST00000253063.3	2.040261	1831	1511	1510	68	67	-1621	320	1442	1688
chr1	28607480	SESN2	ENST00000253063.3	2.098875	1930	1610	1609	167	166	-1522	320	1442	1688
chr1	28607657	SESN2	ENST00000253063.3	2.203671	2107	1787	1786	344	343	-1345	320	1442	1688
chr1	28608505	SESN2	ENST00000253063.3	2.705743	2955	2635	2634	1192	1191	-497	320	1442	1688
chr1	28661174	MED18	ENST00000373842.4	1.510367	528	320	319	-307	-308	-1302	208	626	994
chr1	28661201	MED18	ENST00000373842.4	1.553429	555	347	346	-280	-281	-1275	208	626	994
chr1	28661417	MED18	ENST00000373842.4	1.897927	771	563	562	-64	-65	-1059	208	626	994
chr1	28661427	MED18	ENST00000373842.4	1.913876	781	573	572	-54	-55	-1049	208	626	994
chr1	28823602	PHACTR4	ENST00000373839.3	2.141623	2910	2650	2649	541	540	-3279	260	2108	3819
chr1	28864657	RCC1	ENST00000373833.6	2.106729	1688	1404	1403	138	137	-1155	284	1265	1292
chr1	28864731	RCC1	ENST00000373833.6	2.163960	1762	1478	1477	212	211	-1081	284	1265	1292
chr1	28864800	RCC1	ENST00000373833.6	2.217324	1831	1547	1546	281	280	-1012	284	1265	1292
chr1	28864938	RCC1	ENST00000373833.6	2.324053	1969	1685	1684	419	418	-874	284	1265	1292
chr1	28865092	RCC1	ENST00000373833.6	2.443155	2123	1839	1838	573	572	-720	284	1265	1292
chr1	28929768	TAF12	ENST00000263974.4	2.646119	1203	769	768	283	282	-155	434	485	437
chr1	29069611	YTHDF2	ENST00000373812.3	1.476437	1190	829	828	-911	-912	-1734	361	1739	822
chr1	29069898	YTHDF2	ENST00000373812.3	1.641379	1477	1116	1115	-624	-625	-1447	361	1739	822
chr1	29069993	YTHDF2	ENST00000373812.3	1.695977	1572	1211	1210	-529	-530	-1352	361	1739	822
chr1	29070293	YTHDF2	ENST00000373812.3	1.868391	1872	1511	1510	-229	-230	-1052	361	1739	822
chr1	29070449	YTHDF2	ENST00000373812.3	1.958046	2028	1667	1666	-73	-74	-896	361	1739	822
chr1	29095565	YTHDF2	ENST00000373812.3	2.122722	2202	1841	1840	101	100	-722	361	1739	822
chr1	29095574	YTHDF2	ENST00000373812.3	2.133657	2211	1850	1849	110	109	-713	361	1739	822
chr1	29446028	EPB41	ENST00000343067.4	2.842893	5425	5299	5298	2704	2703	-504	126	2594	3207
chr1	29474900	SRSF4	ENST00000373795.4	2.032984	1741	1507	1506	22	21	-645	234	1484	666
chr1	31414895	PUM1	ENST00000373747.3	1.860784	3172	3073	3072	-497	-498	-2202	99	3569	1704
chr1	31465419	PUM1	ENST00000373747.3	1.273389	1075	976	975	-2594	-2595	-4299	99	3569	1704
chr1	32096142	PEF1	ENST00000373703.4	2.095872	949	927	926	72	71	-679	22	854	750
chr1	32374430	PTP4A2	ENST00000344035.6	2.009461	1520	527	526	23	22	-2408	993	503	2430
chr1	32403778	PTP4A2	ENST00000344035.6	0.212274	210	-783	-784	-1287	-1288	-3718	993	503	2430
chr1	32503518	KHDRBS1	ENST00000327300.7	1.741742	1154	988	987	-344	-345	-1602	166	1331	1257
chr1	32504193	KHDRBS1	ENST00000327300.7	1.861862	1314	1148	1147	-184	-185	-1442	166	1331	1257
chr1	32508216	KHDRBS1	ENST00000327300.7	1.993243	1489	1323	1322	-9	-10	-1267	166	1331	1257
chr1	32508550	KHDRBS1	ENST00000327300.7	2.258347	1823	1657	1656	325	324	-933	166	1331	1257
chr1	32509280	KHDRBS1	ENST00000327300.7	2.838633	2553	2387	2386	1055	1054	-203	166	1331	1257
chr1	32636618	KPNA6	ENST00000373625.3	2.021678	1826	1734	1733	123	122	-5551	92	1610	5673
chr1	32646930	TXLNA	ENST00000373609.1	1.156612	537	257	256	-1384	-1385	-4474	280	1640	3089
chr1	32682377	TMEM234	ENST00000373593.1	2.316411	831	811	810	268	267	-579	20	542	846
chr1	32691813	EIF3I	ENST00000373586.1	1.298569	363	292	291	-686	-687	-1094	71	977	407
chr1	32694370	EIF3I	ENST00000373586.1	1.697342	753	682	681	-296	-297	-704	71	977	407
chr1	32697158	EIF3I	ENST00000373586.1	2.884804	1410	1339	1338	361	360	-47	71	977	407
chr1	32797156	HDAC1	ENST00000373548.3	1.732229	1144	1061	1060	-388	-389	-979	83	1448	590
chr1	32800159	MARCKSL1	ENST00000329421.7	2.050980	972	627	626	39	38	-726	345	587	764
chr1	32800266	MARCKSL1	ENST00000329421.7	1.884354	865	520	519	-68	-69	-833	345	587	764
chr1	32800626	MARCKSL1	ENST00000329421.7	1.272109	505	160	159	-428	-429	-1193	345	587	764
chr1	32801693	MARCKSL1	ENST00000329421.7	0.832370	287	-58	-59	-646	-647	-1411	345	587	764
chr1	32831618	BSDC1	ENST00000341071.7	2.732448	3752	3741	3740	2316	2315	-846	11	1424	3161
chr1	32832014	BSDC1	ENST00000341071.7	2.607211	3356	3345	3344	1920	1919	-1242	11	1424	3161
chr1	32832020	BSDC1	ENST00000341071.7	2.605313	3350	3339	3338	1914	1913	-1248	11	1424	3161
chr1	33151482	RBBP4	ENST00000373493.5	2.949278	7612	7454	7453	6176	6175	-330	158	1277	6505
chr1	33240993	YARS	ENST00000373477.4	2.793801	3084	2176	2175	589	588	-153	908	1586	741
chr1	33241187	YARS	ENST00000373477.4	2.532345	2890	1982	1981	395	394	-347	908	1586	741
chr1	33241448	YARS	ENST00000373477.4	2.180593	2629	1721	1720	134	133	-608	908	1586	741
chr1	33245819	YARS	ENST00000373477.4	1.756774	2109	1201	1200	-386	-387	-1128	908	1586	741
chr1	33292139	S100PBP	ENST00000373475.5	1.357783	692	439	438	-788	-789	-3625	253	1226	2836
chr1	33292276	S100PBP	ENST00000373475.5	1.469438	829	576	575	-651	-652	-3488	253	1226	2836
chr1	33764843	ZNF362	ENST00000539719.1	2.117155	1628	1459	1458	196	195	-1477	169	1262	1672
chr1	33790403	PHC2	ENST00000257118.5	2.050847	2693	2640	2639	63	62	-1176	53	2576	1238
chr1	33790407	PHC2	ENST00000257118.5	2.047619	2689	2636	2635	59	58	-1180	53	2576	1238
chr1	35320746	SMIM12	ENST00000521580.2	2.182838	977	833	832	554	553	-2476	144	278	3029
chr1	35321293	SMIM12	ENST00000521580.2	2.002310	430	286	285	7	6	-3023	144	278	3029
chr1	35580949	ZMYM1	ENST00000373330.1	2.148333	3691	3518	3517	89	88	-511	173	3428	599
chr1	35652842	SFPQ	ENST00000357214.5	1.859699	1924	1826	1825	-298	-299	-1822	98	2123	1523
chr1	35654812	SFPQ	ENST00000357214.5	1.747175	1685	1587	1586	-537	-538	-2061	98	2123	1523
chr1	35656128	SFPQ	ENST00000357214.5	1.652542	1484	1386	1385	-738	-739	-2262	98	2123	1523
chr1	35656161	SFPQ	ENST00000357214.5	1.637006	1451	1353	1352	-771	-772	-2295	98	2123	1523
chr1	35656459	SFPQ	ENST00000357214.5	1.543785	1253	1155	1154	-969	-970	-2493	98	2123	1523
chr1	35656534	SFPQ	ENST00000357214.5	1.508475	1178	1080	1079	-1044	-1045	-2568	98	2123	1523
chr1	35657975	SFPQ	ENST00000357214.5	1.318267	774	676	675	-1448	-1449	-2972	98	2123	1523
chr1	35658337	SFPQ	ENST00000357214.5	1.147834	412	314	313	-1810	-1811	-3334	98	2123	1523
chr1	35885646	ZMYM4	ENST00000314607.6	2.162329	5094	5015	5014	368	367	-1899	79	4646	2266
chr1	35886726	ZMYM4	ENST00000314607.6	2.638730	6174	6095	6094	1448	1447	-819	79	4646	2266
chr1	36026109	NCDN	ENST00000373243.2	1.163014	739	357	356	-1833	-1834	-2943	382	2189	1109
chr1	36032077	NCDN	ENST00000373243.2	2.732432	3385	3003	3002	813	812	-297	382	2189	1109
chr1	36068880	PSMB2	ENST00000373237.3	1.980198	1005	594	593	-12	-13	-1695	411	605	1682
